Segment,Security description,"Quantity
Bought for you","Quantity Sold
for you","Total gross
(Rs.)","Average rate
(Rs.)","Brokerage
(Total)","**GST on
Brokerage (Rs.)","Total Security
Transaction
Tax(Rs.)","Other
Statutory
*Levies(Rs.)","Net Amount
(Rs.)"
,"OPTSTK-HDFCBANK -26SEP2024-CE
-1750.0000 -0",0,550,9267.50,16.85,20.00,3.60,5.79,3.29,9234.82
,"OPTSTK-RELIANCE -26SEP2024-CE
-2980.0000 -0",0,250,8600.00,34.40,20.00,3.60,5.38,3.05,8567.97
Total,,,,1383638.32,,1429.69,257.34,1371.00,144.18,290862.35
