Segment,Security description,"Quantity
Bought for you","Quantity Sold
for you","Total gross
(Rs.)","Average rate
(Rs.)","Brokerage
(Total)","**GST on
Brokerage (Rs.)","Total Security
Transaction
Tax(Rs.)","Other
Statutory
*Levies(Rs.)","Net Amount
(Rs.)"
Equity,"ANGEL ONE LIMITED-MTF-INE732I0
1013",100,0,262839.45,2628.39,262.86,47.30,262.88,49.22,263461.71
,BSE LIMITED-MTF-INE118H01025,0,50,202087.95,4041.76,202.09,36.38,202.09,7.52,201639.87
